,lemmatized,label
0,duterte antiterror law dark new chapter philippines expert warn antiterrorism law grant sweep power president rodrigo duterte government face mount legal challenge right group warn legislation signal new dark chapter philippines act lawyer use vague overly broad definition terrorism permit warrantless arrest allow authority hold individual week charge implement later month petition law file supreme court government say power allow respond threat militant right group warn law lock peaceful critic limit access humanitarian aid law pass friday particularly context covid role humanitarian organisation important term underserviced community action hamper work humanitarian organisation irresponsible say professor fionnuala ní aoláin un special rapporteur promotion protection human right fundamental freedom counter terrorism law criminalise provide material support activity deem terrorist act exemption humanitarian group outline ní aoláin say limited law chilling effect agency deliver aid philippines face recent increase coronavirus case prompt government warn strict lockdown reintroduce infection far reach fifth confirm past day confirm death edre olalia national union people lawyer plan file petition oppose law supreme court fear law ramification medium activist opposition figure member public express opinion online compare power provide antiterror act daily martial law unprecedented power executive body say definition law add expansive broad legitimate activity consider terrorism law antiterrorism council appoint president power designate individual group terrorist detain charge day law allow day surveillance wiretap punishment include life imprisonment parole duterte urge rush sign act law reject concern scope plan bomb church public utility derail nation fear recently tell public add communist terrorist government continue fight decadeslong communist insurgency threat islamist group south country televise address wednesday say afraid terrorist ní aoláin say term terrorism inherently suspect category government deliberately cover counterterrorism suppress right fear law sweeping definition provide new tool silence call accountability abuse commit duterte leadership include extrajudicial killing carry antidrug crackdown launch election hand trigger law provide impetus press trigger add olalia past month action take countrys prominent medium outlet june executive editor rappler maria ressa critic duterte convict cyber libel story write law exist time article publish countrys large broadcaster abscbn repeatedly threaten president force air duterte deny case politically motivated challenge antiterror law christian monsod felicitas arroyo commission draft constitution group expect file petition vast majority supreme court justice duterte appointee push fight say olalia,0
1,singapore fines standard chartered entity million money laundering breach singapore reuters singapores central bank impose penalty s million million standard chartered bank scbc stanl s million standard chartered trust singapore sct breach money laundering rule terrorism financing safeguard statement monday monetary authority singapore mas say breach occur trust account scbs customer transfer standard chartered trust guernsey sct december january mas require financial institution adequately assess money laundering risk decide accept customer place good system process monitor customer transaction say mas deputy manage director ong chong tee mas guernseys financial services commission look standard chartered movement asset mainly indonesian client late channel island adopt new global rule exchange tax information timing transfer raise question client attempt avoid crs report obligation scb sct adequately assess mitigate risk factor fail file suspicious transaction report timely manner mas say statement standard charter concede fall short standard mitigate risk say take action rectify deficiency identify issue recognize not diligent need transfer trust asset guernsey singapore standard chartereds ceo bill winter say credit suisse annual asia investment conference hong kong monday report shortcoming action client mas important thingi make investment necessary sure repeat say standard chartered say close trust operation guernsey centralize business singapore,1
2,treasury designate drug trafficker northern afghanistan washington department treasurys office foreign asset control ofac today designate afghan national pahlawan rozi pursuant foreign narcotics kingpin designation act kingpin act significant role international narcotic traffic rozi weapon narcotic trafficker hawala owner northern afghanistan smuggle drug tajikistanafghanistan border narcotic traffic activity rozi acquire large amount money asset include building business orchard kunduz province bribe payment highranke afghan government official avoid police interference narcotic traffic activity rozis role hawaladar narcotic trafficker incite violence fueled crime afghan region say ofac director adam j szubin treasury tolerate illicit activity undermine confidence legitimate financial system continue target expose criminal like rozi designation result collaboration treasury drug enforcement administration afghanistan threat finance cell atfc atfc base afghanistan collect analyze disseminate intelligence report afghan insurgent financing result today action property interest property united states possession control person rozi interest block person generally prohibit engage transaction today action treasurys ongoing effort apply financial sanction significant foreign narcotic trafficker organization june ofac designate individual entity pursuant kingpin act kingpin act violation result imposition civil fine criminal penalty criminal penalty corporate officer include year prison fine million criminal fine corporation reach million criminal penalty individual include year prison fine pursuant title united states code criminal violation kingpin act,1
3,wikipedia free encyclopedia wikipedia voir aussi riduan isamuddin publicité redirect riduan bin isomuddin riduan isamuddin transliterate riduan isamudin riduan isomuddin riduan isomudin well know nom de guerre hambali bear encep nurjaman indonesia military leader indonesian terrorist organization jemaah islamiyah ji link al qaeda extrajudicial detention united states s guantanamo bay detainment camp cuba hambali describe osama bin laden southeast asia medium report describe bin laden lieutenant southeast asian operation report describe independent peer highly trust al qaeda main link organisation hambali close friend khalid shaikh mohammed plan operation bojinka september terrorist attack hambali envision create muslim state form islamic superpower theocracy southeast asia leader caliph ambition rule indonesia malaysia singapore brunei cambodia part philippines myanmar thailand receive increase attention aftermath bali nightclub bombing people diedaccorde office director national intelligence serve command al qaeda capture khalid sheikh mohammed capture eventually apprehend joint operation cia thai police currently imprison guantanamo bay detention centre cuba year cia custody secret location early life riduan isamuddin bear encep nurjaman rice belt sukamanah small village cianjur regency province west java indonesia son peasant farmer second thirteen child involved jemaah islamiah teenager diligent student islamic high school alianah travel afghanistan fight soviet union soviet invasion afghanistan year mujahid meet osama bin laden friend family indonesia know activity overseas nephew wilson halim say renowned bud youth terrorist malaysia citation need transliterate english text different way year include jemaah islamiah return cianjur week go malaysia meet cofounder ji abdullah sungkar abubakar bashir flee president suharto s new order nurjaman internationalize terrorist group activity nurjaman take new permanent residence permit riduan isamuddin live housing compound kampung sungai manggis bante selangor nickname hambali hanbali school religious law start revered islamic imam cofounder send student study afghanistan pakistan student actually fight soviet soviet pull afghanistan woman name noralwizah lee abdullah go malaysia religious schooling secretly marry isamuddin meet luqmanul hakiem school ulu tiram johor school found sungkar bashir initially isamuddin struggle living family switch sell kebab patent medicine soon disappear home week time receive visitor home eventually come red hatchback cell phone investigator call cell phone mohammed jamal khalifa osama bin laden brother law arrive manila philippines arab visitor give family lot money found shell company konsojaya june ostensibly importexport company trading palm oil malaysia afghanistan essentially company terrorism citation need wali khan amin shah financier operation bojinka director konsojaya company provide financial assistance project discover investigator laptop computer apartment fire january shah arrest philippines escape short order shah arrest malaysia december shah mastermind ramzi yousef escape philippines arrest lahore pakistan extradite united states convict sentence life prison participate project hambali go underground hambalis company attract attention investigator dealing go quiet citation need decide preach raise money recruit cause go underground start wave churchbombing indonesia handson technique meet foot soldier come detailed plan plenty cash bombmaker flee bombing commence spiritual leader jemaah islamiah abu bakr bashir preach jihad school deny link islamic militants citation need hambali plan attend january al qaeda summit kuala lumpur malaysia present september hijacker khalid almihdhar nawaf alhazmi gathering kuala lumpur observe cia malaysian authority specifically say meeting pick hambali provide money document zacarias moussaoui october year bali nightclub bombing people kill hambali receive attention united states year lead attack indonesian government action islamic militant minimal follow attack abu bakr bashir arrest crack jemaah islamiah want indonesia bombing church region want bali bombing fail plot target singapore capture hambali series safehouse southeast asia especially thailand cambodia ayutthaya thailand kilometers north bangkok plan terrorist attack thai hotel asia pacific economic cooperation summit apec bangkok october hambali false spanish passport enter thailand wife malaysian passport thai police find joint operation thai police cia august uniformed undercover police smash door bedroom apartment ayutthaya arrest year old noralwizah lee abdullah chinese malaysian consider wife hambali wear pair jean tshirt baseball cap pair sunglass police seize explosive firearm property mark end month hunt hambali year age capture human right watch report state hambali imprison jordan account cia citation need september president george w bush confirm hambali hold cia reveal transfer guantanamo bay wife malaysian custody september indonesia formally request access hambali ensure fair trial united states reluctant hand lenient sentence indonesia impose bashir citation need hambali want philippines transfer explosive filipino soil attempt transport singapore detention follow capture usa confirm deny custody september president bush acknowledge existence covert overseas cia interrogation centre colloquially know black site announce highprofile member al qaeda related group transport site guantanamo bay include hambali allege lieutenant call mohammed nazir bin lep alias lillie lili combatant status review george w bush administration assert protection geneva convention withhold captive war terror critic argue convention oblige united states conduct competent tribunal determine status prisoner subsequently department defense institute combatant status review tribunal determine captive meet new definition enemy combatant csrt bind rule evidence apply civilian court government evidence presume genuine accurate july march csrt convene determination captive correctly classify enemy combatant riduan isamuddin twothird prisoner choose participate tribunal hearing summary evidence memo prepare tribunal list allege fact lead detention memo accuse follow department defense announce august fourteen highvalue detainee transfer guantanamo cia black site officially classify enemy combatant judge peter brownback keith j allred rule month early illegal enemy combatant face military commission department defense waive qualifier say fourteen man face charge guantanamo military commission read information hambali read massive report commission reference maria ressa august quest se asias islamic super state cnn retrieve main financier operation allege riduan isamuddin know hambali purport al qaedas main operative southeast asia fight run blood age october retrieve malaysia bashir begin surround hardcore militant hambali alias riduan isamuddin yearold indonesian fight soviets today describe western source chief operation officer ji reputedly mastermind al qaeda cell world detainee biographie pdf office director national intelligence archive original oardec february summary evidence combatant status review tribunal hambali riduan bin isomuddin department defense retrieve april scott mcclellan august press gaggle scott mcclellan senior administration official aboard air force white house retrieve april bthe commission report pdf commission retrieve april treasury designate leader terrorist group jemaah islamiyah treasury april retrieve april hunt hambali osama far east sydney morning herald october retrieve bush admit cia secret prisons bbc news retrieve jakarta seek access hambali bbc news retrieve bush cia hold terror suspect secret prison cnn september biography guantanamo bay detainees office director national intelligence qa guantanamo prisoners bbc news retrieve mirror elsea jennifer k july detainee guantanamo bay report congress pdf congressional research service retrieve oardec index transcript detainee testimony document submit detainee combatant status review tribunal hold guantanamo july march september oardec april combatant status review tribunal transcript department defense retrieve april lolita c baldur thursday august pentagon guantanamo suspect combatant time magazine mirror sergeant sara wood june charge dismiss canadian guantanamo department defense retrieve sergeant sara wood june judge dismiss charge second guantanamo detainee department defense retrieve external link,1
4,morente new law option end graft corruption bi immigration commissioner jaime morente admit tuesday passing new immigration law remaining solution resolve nag corruption problem fester agency news statement issue tuesday morning morente say current philippine immigration act long responsive concern need bureau immigration morente early lament have disciplinary power bi personnel power hire fire rest secretary justice talk president raise concern philippine immigration act old law year old exact enact time international flight enter leave country morente point provision outdated inappropriate add enactment congress philippine immigration act accord morente longterm solution corruption problem bureau say passage say law threeti approach bi frame solve corruption irregularity bureau shortterm solution bi implement onestrike policy bi personnel subject meritorious complaint issue pende filing appropriate administrative charge shortterm solution relieve find involve corrupt practice relieve name implicate pastilla issue implement onestrike policy try follow suit state mediumterm solution hand continuous reorganization system add layer check balance transfer supervision travel control intelligence unit border control intelligence unit different division serve sort audit action port operation division dismantle semblance central control possible illegal activity add eye watch audit activity airport personnel add morente say short term medium term remedy implement bi chief express belief real longterm solution corruption updating philippine immigration act remove people loophole law remain quick win cure symptom anti corruption drive responsive new immigration law cure systemic problem breed corruption morente explain new law prioritize congress expect address salary woe remove systemic issue plug loophole policy update fine penalty ensure division power confer commissioner proper disciplinary power likely lead increase fine impose airline catch bring improperly document alien presidential spokesman harry roque say news briefing tuesday government eye modernization bi mitigate corrupt practice said agency roque say justice secretary menardo guevarra appeal congress finally pass bill amend outdate philippine immigration act create commission immigration deportation cid later rename bi secretary guevarra propose passage law update modernize law create cid commonwealth act roque say confirm guevarra businessmirror sms bill modernization bi committee level house chamber need push pass law guevarra say samuel p medenilla,0
5,india satyam computers b ramalinga raju jail fraud publish image copyrightap indian court sentence head satyam computer seven year prison country biggest corporate scandal b ramalinga raju found software service giant deny charge conspiracy cheating forgery admit accounting malpractice raju fine collapse satyam computer cost shareholder rock india industry bbcs simon atkinson mumbai say big fraud list company india convict man expect appeal maximum sentence raju faced life jail describe indias enron certainly fraud satyam common scandal bring energy giant case man boardroom systematically inflate profit order company appear healthy actually enron executive conceal substantial debt affair come light cause widespread shock undermined confidence corporate sector consequence enron scandal great cause company collapse employee lose livelihood shareholder lose case satyam indian government intervene company operate engineer takeover mahindra group shareholder lose money wide fallout scandal limited image copyrightap satyam big player booming indian software market job satyam worker save government intervene indian firm tech mahindra buy controlling stake company april accuse convict charge prosecutor k surender tell reporter outside court convict include brother raju scandal timeline january raju resign admit satyam overstate profit year companys stock suspend government appoint new director february federal cbi investigator investigation november supreme court grant bail raju cbi fail file charge time march tech mahindra mahindra satyam announce plan merge create india big software company ride tiger scandal emerge january mr raju pioneer indian industry satyam founder chairman confess manipulate companys account inflate profit year tune letter board claim fudge number order indian industry concern poor performance result takeover tell shareholder like ride tiger know eat prosecutor scam unravel cost shareholder today rate scam go year confession send shockwave industry court paper file indias stock market regulator say mr raju friend family illegal wealth scam cash surge share price offload stake company high price make substantial profit despite know account overstate raju arrest january jail bail year later spend nearly year hospital treat hepatitis satyam big player booming indian software market supply backoffice service firm world include general electric qantas airways,1
6,nab files corruption reference pak pm shaukat aziz national accountability bureau nab monday file corruption reference prime minister shaukat aziz accountability court notice nab state federal minister power water liaquat jatoi secretary ismail qureshi additional secretary yousaf memon exsecretary alternative energy development board aedb dr naseem khan nominate case report geo news reference file connection allege illegal appointment basharat hasan bashir consultant countrys alternative energy board management positionii mpii scale salary package accord express tribune exjoint secretary water power ghulam nabi mangrio exsection officer water power umar farooq retired air marshal chairman aedb shahid hamid accuse nab reference allegedly bashir appoint consultant follow prerequisite procedure appointment violate mp scale policy guideline expiry consultancy contract accuse basharat hasan bashir illegally hold say post year extension notification regular appointment keep enjoy salary perk privilege illegally connivance management aedb nab state reference story edit business standard staff autogenerate syndicate feed,1
7,moneylaundere scandal danske bank large history russianspeake caller refuse threat explicit feel walk home safely night officer estonian branch danske bank begin realise take unpleasant customer tipoff member staff travel moscow start ask question team try trace identity people hide anonymous corporate vehicle open account transfer huge sum money staff begin receive anonymous threat bank sink caller warn today danske business chief executive thomas borgen resign fall sword report produce lawyer board publish wednesday reveal extent problem estonian branch thousand suspicious customer responsible transaction nineyear period realisation dawn uncover probably large moneylaundere scandal history europe major moneylaundering problem say anticorruption expert nienke palstra campaign group global witness senior executive hold fully accountable criminal wrongdoing fine bank involve kind scandal continue decade come regulator law enforcement agency slowly begin respond britain national crime agency nca confirm investigate anonymous corporate vehicle link scandal moment civil criminal case mean individual prosecute take interest justice department treasury department securities exchange commission regulate stock market reportedly involved denmark regulator financial supervisory authority reopen investigation close inquiry result reprimand fine authority look management face legal action head jesper berg tell financial time easy understand s lot public uproar continuation financial crisis s sense unmet consequence financial sector reward job borgen responsible estonia danskes head international operation chief executive resignation statement say report conclude live legal obligation concern person helm catastrophic failure bank internal control leave immediately borgen retain replacement find contract entitle collect year pay question remain unanswered number law enforcement agency try tackle danske problem grow doubt mount ability bring prosecution money laundering transnational crime danske scandal involve currency company cyprus british virgin island seychelles customer estonian branch trace russia azerbaijan ukraine scheme run branch reportedly involve azerbaijan rule elite fund pay european politician lobbyist money laundering globalised industry operate domestic basis bother say tom keatinge director centre financial crime security study royal united services institute investment banker keatinge work jp morgan year turn attention combat fraud border immaterial structure transaction border immaterial cop try chase week european commission forward proposal create eus genuine crossborder antimoney laundering force european banking authority relevant investigation team increase people agency hand power intervene believe national regulator fail mandate limit take action bank prosecute criminal customer week page report produce danske independent law firm bruun hjejle page memorandum danish fsa outline danskes failing confirm name bank suspicious client year staff estonia begin raise alarm revelation area come investigative reporter bruun hjejle report make glance reference eyecatching putin family confirm december whistleblower account send member danskes executive board whistleblower name uk register company account danske beneficial owner suspect include putin family fsb bruun hjejle reference report danish newspaper berlingske year name igor putin businessman cousin russian president number associate individual suspect danske staff have transact money estonian account putin respond request comment berlingske transaction centre ukregistered company call lantana trade llp englands limited liability partnership notoriously popular money laundering information oblige disclose minimal company house list active llps lantana file account claim dormant accord danish fsa report danske staff notice summer extensive history transaction credit balance nearly alarm raise manager instead close account allow lantana remain client september nca company investigate detail give llp statement agency acknowledge role play english company illegal scheme threat pose use uk company structure route money laundering widely recognise nca work partner government restrict ability criminal use way government say consider bolster ability company house team check information provide entity register keatinge information gathering know supervision not bad guy say investigation get bad guy,1
8,muhammad sholeh ibrahim additional information indonesian national muhammad sholeh ibrahim serve act emir jemmah anshorut tauhid jat qde ibrahim support islamic state iraq levant isil list alqaida iraq qde indoctrinate group ibrahim involve raise fund jat ibrahim serve leader jat solo surakarta indonesia office previously responsible jat solo office plan strategy additionally ibrahim involve planning jat paramilitary recruit registration take jat paramilitary training link un narrative summary edit blogpad pro,1
9,property agent jail bribe witness husband trial give illegal loan client singapore husband haul court give illegal loan borrower include client property agent bribe client false statement husband trial nab give charge witness tamper woman abscond midst trial flee malaysia pretext attend workrelate matter sally lai guek ling return singapore year later turn sentence friday oct year jail fine s pay fine serve month jail default lai plead guilty charge instigate witness false declaration use trial husband offer witness bribe conspire husband carry business unlicensed moneylending abscond trial charge take consideration court hear lai hire property agent salinah ahmad sazali ramli assist sale flat couple face financial difficulty speak lai problem lai later introduce salinah lais husband kenny tay ann siang lai say husband salinah loan repay proceed sale flat indicate interest rate couple agree proposal need cash salinah borrow s tay month tay lai authorise carry moneylending business august lai sell salinah flat s claim s sale proceed repayment loan interest rate cent senior manager council estate agency lodge police report relation sale salinah flat suspicion illegal moneylending activity lai police investigate lai husband tay arrest later charge unlicensed moneylending offence include loan extend salinah husband claim trial tay say claim trial trial date fix wife contact salinah march need salinah help trial despite know salinah call witness tay trial june july lai promise salinah s agree provide false testimony tay trial exculpate offence salinah agree lai prepare false declaration salinah sign criminal act uncover lai charge april bribe witness lai claim trial offence trial begin june day trial ask leave singapore attend workrelate matter malaysia judge grant request lai abscond return court trial dec warrant arrest issue surrender court january year deputy public prosecutor chong yonghui ask month jail fine s default month jail highlight lai plead guilty abscond middle trial suffer depression year defence defence lawyer thong chee kun rajah tann ask month jail say lais mental condition central theme mitigation suffer depression year say mr thong affect depression concern family base year major depression suffer lot action affect way think matter desire protect family highlight lai ultimately difficult decision surrender voluntarily backdrop mental condition imagine anguish suffering run easy period especially separate child time say lawyer say lawyer represent lai mr thong colleague represent lai trial extremely low cost help complete matter urge court impose lenient indefault sentence lai afford fine look forward reunite child wish start life anew soon possible s instruct apologise court prosecution problem cause say mr thong district judge john ng say madam lai think moment stop run moment come start road recover life say able year jail term backdate date remand january able wish look child focus life order say judge trial lais husband pende,1
